name,drug_type,drug.standard_dose,drug.dose_frequency,drug.max_dose,drug.administration_route,drug.drug_use,drug.adverse_effects,drug.contraindications
Complejo B Inyectable,Suplemento Vitamínico (B1 / B6 / B12),Según formulación y deficiencia (ej. 1-2 ampollas/día o alternos).,Diaria o días alternos,Según prescripción médica basada en deficiencia,IM IV,"Deficiencias de vitaminas B1, B6, B12 (neuritis - neuralgias - anemia megaloblástica por deficiencia B12)","Dolor sitio inyección, reacciones alérgicas (raro, especialmente B1), flushing, prurito; B6: neuropatía sensorial (dosis muy altas/prolongadas)","Hipersensibilidad a componentes, enfermedad de Leber (B12), recién nacidos (formulaciones con alcohol bencílico)"
Dexketoprofeno,Antiinflamatorio No Esteroideo (AINE),Oral: Adultos 12.5 mg c/4-6h o 25 mg c/8h. IV/IM: Adultos 50 mg c/8-12h.,Oral: cada 4-8h; IV/IM: cada 8-12h,Oral: 75 mg/día; IV/IM: 150 mg/día (no más de 2 días),Oral IV IM,Dolor agudo leve-moderado,"Dispepsia, náuseas, vómitos, dolor abdominal, diarrea, mareo, cefalea; parenteral: dolor sitio inyección","Hipersensibilidad a dexketoprofeno/AINEs, úlcera péptica/hemorragia GI activa o reciente, EII, I.H./I.R. grave, IC grave, historial sangrado GI por AINEs, último trimestre embarazo, trastornos coagulación"
Diazepam,Benzodiazepina,Oral: Ansiedad 2-10 mg 2-4v/d; Relajante 2-10 mg 3-4v/d. IV/IM: Status 5-10 mg (repetir); Sedación 2-20 mg.,Oral: 2-4 veces/día,Oral: 40-60 mg/día; IV: individualizada,Oral IV IM Rectal,Ansiedad - Status epilepticus - Espasmos musculares - Sedación preoperatoria/procedimental - Abstinencia alcohólica,"Somnolencia, mareo, ataxia, fatiga, confusión, debilidad muscular, depresión respiratoria (IV/dosis altas), hipotensión","Hipersensibilidad a benzodiazepinas, miastenia gravis, insuf. respiratoria severa, apnea sueño, glaucoma ángulo cerrado, I.H. severa, intoxicación etílica aguda"
Dimenhidrinato,Antihistamínico H1 1ª Gen / Antiemético / Antivertiginoso,Oral/IM/IV: Adultos 50-100 mg; Niños,Cada 4-6 horas PRN,Adultos: 400 mg/día,Oral IV IM,Prevención y tratamiento de náuseas - Vómitos - Vértigo asociados a cinetosis,"Somnolencia, sedación, boca seca, visión borrosa, mareo, retención urinaria, espesamiento secreciones bronquiales, excitación paradójica (niños/ancianos)","Hipersensibilidad, crisis asmática aguda, glaucoma ángulo cerrado, hipertrofia prostática sintomática, obstrucción píloro-duodenal, niños <2 años (algunas fuentes)"
Dipirona Magnésica (Metamizol),Analgésico / Antipirético / Antiespasmódico,Oral/Rectal: Adultos 500-1000 mg. IV/IM: Adultos 1-2.5 g.,Oral/Rectal: cada 6-8h; IV/IM: cada 6-8h,Oral: 4 g/día; IV/IM: 5 g/día,Oral Rectal IV IM,Dolor agudo severo - Dolor cólico - Fiebre refractaria,"Hipotensión (IV rápida), reacciones anafilácticas/anafilactoides, agranulocitosis (rara pero grave), leucopenia, trombocitopenia, dolor sitio inyección","Hipersensibilidad a pirazolonas/AINEs, porfiria hepática intermitente aguda, deficiencia congénita G6PD, discrasias sanguíneas previas, hipotensión preexistente, <3 meses o <5 kg (parenteral)"
Escopolamina Butilbromuro (Butilescopolamina),Antiespasmódico / Anticolinérgico,Oral/Rectal: Adultos 10-20 mg. IV/IM/SC: 20 mg,Oral/Rectal: 3-5 veces/día; Parenteral: repetir c/30min-4h PRN,Oral: 100 mg/día; Parenteral: 100 mg/día,Oral Rectal IV IM SC,Espasmos agudos del tracto GI - Biliar - Genitourinario (cólico renal - biliar) - Dismenorrea espasmódica - Endoscopia/radiología (reducir espasmos),"Boca seca, visión borrosa, taquicardia, retención urinaria, estreñimiento, somnolencia, mareo (menos efectos SNC que escopolamina hidrobromuro)","Hipersensibilidad, glaucoma ángulo cerrado, megacolon, íleo paralítico, taquiarritmias, miastenia gravis, hipertrofia prostática con retención urinaria"
Estreptomicina,Antibiótico / Aminoglucósido,Tuberculosis (IM): 15 mg/kg/día. Otras infecciones (IM): 1-2 g/día.,TBC: 1 vez/día; Otras inf: 2-4 veces/día,TBC: 1 g/día (o 1.5g si >90kg); Otras: 2 g/día,IM (preferentemente) IV,Tuberculosis (parte de régimen multidroga) - Infecciones bacterianas graves (brucelosis - tularemia - peste - endocarditis estreptocócica/enterocócica),"Ototoxicidad (vestibular y coclear), nefrotoxicidad, neurotoxicidad (bloqueo neuromuscular), rash, fiebre, eosinofilia","Hipersensibilidad a aminoglucósidos, miastenia gravis, embarazo (riesgo ototoxicidad fetal)"
Etofenamato,Antiinflamatorio No Esteroideo (AINE) Tópico,Gel/Crema/Solución 5-10%,2-3 veces al día,Aplicación área afectada,Tópica,Dolor e inflamación localizados de origen traumático o reumático (contusiones - esguinces - tendinitis - bursitis - osteoartritis superficial),"Irritación cutánea local (eritema - prurito - dermatitis de contacto), fotosensibilidad","Hipersensibilidad a etofenamato/ác. flufenámico/otros AINEs, piel lesionada o con eccema, último trimestre embarazo, exposición solar del área tratada durante y 2 semanas post-tto"
Fenilefrina,Simpaticomimético / Agonista α1 Adrenérgico,Descongestionante nasal: Adultos 10 mg. Midriático (oftálmico): 1 gota sol 2.5% o 10%. Hipotensión (IV): Bolo 50-200 mcg; Infusión 0.5-5 mcg/kg/min.,Oral: cada 4-6h; Oftálmico: según necesidad; IV: PRN/infusión continua,Oral: 60 mg/día; IV: por respuesta hemodinámica,Oral IV IM SC Oftálmica Nasal,Descongestionante nasal/ocular - Midriasis (examen fondo ojo/cirugía) - Hipotensión aguda/shock (vasopresor) - Taquicardia supraventricular paroxística (raro),"HTA, bradicardia refleja, taquicardia (a veces), arritmias, cefalea, nerviosismo, insomnio, necrosis tisular (extravasación IV), glaucoma ángulo cerrado (oftálmico)","Hipersensibilidad, HTA severa, taquicardia ventricular, glaucoma ángulo cerrado (contraindicación relativa para uso sistémico, absoluta para oftálmico en predisposición), uso con IMAO (crisis hipertensiva)"
Fenitoína,Anticonvulsivo / Hidantoína,Status epilepticus (IV): Carga 15-20 mg/kg; Mant: 100 mg oral/IV c/6-8h. Epilepsia (oral): Carga 1g en 3 dosis (c/2-4h); Mant: 300-600 mg/día.,Oral: 1-3 veces/día; IV: según protocolo,Oral: 600 mg/día; IV carga: 20 mg/kg,Oral IV,Crisis tónico-clónicas generalizadas - Crisis parciales complejas - Status epilepticus - Neuralgia trigémino (2ª línea) - Algunas arritmias (raro),"Nistagmo, ataxia, disartria, somnolencia, confusión, hiperplasia gingival, hirsutismo, rash (riesgo SJS/TEN, HLA-B*1502), osteomalacia, anemia megaloblástica, hepatotoxicidad, hipotensión/arritmias (IV rápida)","Hipersensibilidad a hidantoínas, bradicardia sinusal, bloqueo sinoauricular, bloqueo AV 2º-3º grado, síndrome Adams-Stokes, uso concomitante delavirdina"
Fenobarbital,Anticonvulsivo / Barbitúrico,Epilepsia (oral): Adultos 60-250 mg/día; Niños 3-6 mg/kg/día. Status (IV): Adultos Carga 10-20 mg/kg; Niños Carga 15-20 mg/kg. Sedación (oral): 30-120 mg/día divididos.,Oral: 1-3 veces/día; IV: según protocolo,Epilepsia: por niveles (15-40 mcg/mL); Status IV carga: 20 mg/kg,Oral IV IM,Crisis tónico-clónicas generalizadas - Crisis parciales - Status epilepticus - Sedación - Insomnio - Hiperbilirrubinemia neonatal,"Somnolencia, letargia, mareo, depresión respiratoria/SNC (dosis altas), ataxia, nistagmo, irritabilidad/hiperactividad (niños/ancianos), rash, dependencia (uso prolongado)","Hipersensibilidad a barbitúricos, porfiria intermitente aguda, insuf. respiratoria severa, I.H./I.R. grave, intoxicación aguda alcohol/sedantes"
Fentanilo,Analgésico Opioide Potente,Analgesia (IV/IM): 25-100 mcg. Anestesia (IV): inducción 2-20 mcg/kg. Transdérmico: Parches 12-100 mcg/h,IV/IM: cada 1-2h PRN; Transdérmico: cada 72h; Oral transmucosa: PRN (dolor irruptivo),Variable,IV IM Transdérmica Epidural Intratecal Oral transmucosa Nasal,Dolor agudo severo - Dolor crónico severo - Anestesia (adyuvante/inducción) - Sedación (UCI),"Depresión respiratoria, bradicardia, hipotensión, rigidez muscular (torácica), náuseas, vómitos, estreñimiento, somnolencia, mareo, miosis, dependencia, euforia/disforia","Hipersensibilidad, depresión respiratoria significativa (en ausencia de equipo resucitación), asma bronquial aguda/severa, íleo paralítico, uso concomitante/reciente (14 días) IMAO (algunas formulaciones/vías)"
Finasterida,Inhibidor 5-alfa Reductasa,HPB (oral): 5 mg/día. Alopecia androgenética (oral): 1 mg/día.,Una vez al día,HPB: 5 mg/día; Alopecia: 1 mg/día,Oral,Hiperplasia Prostática Benigna (HPB) - Alopecia androgenética (patrón masculino),"Disminución libido, disfunción eréctil, trastornos eyaculación, ginecomastia, dolor testicular; raro: reacciones hipersensibilidad, cáncer mama en hombres, depresión","Hipersensibilidad, mujeres (especialmente embarazadas o en edad fértil, por riesgo malformaciones fetales masculinas), niños"
Fitomenadiona (Vitamina K1),Vitamina K / Hemostático,Deficiencia/Profilaxis sangrado (oral/SC/IM/IV lenta): Adultos 2.5-25 mg (raramente más). RN (profilaxis): 0.5-1 mg IM dosis única.,Variable según indicación y vía,Según necesidad clínica,Oral SC IM IV,Profilaxis y tratamiento de hemorragia por deficiencia de Vit K (RN - malabsorción - inducida por fármacos como anticoagulantes cumarínicos),"IV: Reacciones anafilactoides (flushing - disnea - dolor torácico - hipotensión - shock, administrar lento y diluido). IM/SC: Dolor/hematoma sitio inyección. Oral: bien tolerado.","Hipersensibilidad. IV: precaución extrema, reservar para emergencias cuando otras vías no factibles."
Fluconazol Oral,Antifúngico Azólico (Triazol),"Candidiasis vaginal (oral): 150 mg dosis única. Candidiasis orofaríngea (oral): 50-100 mg/día x7-14d. Candidiasis sistémica/Meningitis criptocócica (oral/IV): Carga 400-800mg, luego 200-400mg/día.",Dosis única o diaria según indicación,Candidiasis sistémica: hasta 800 mg/día o más,Oral IV,Candidiasis (vaginal - orofaríngea - esofágica - sistémica) - Meningitis criptocócica (tratamiento y profilaxis) - Dermatomicosis (cuando tto tópico no efectivo) - Profilaxis fúngica en inmunodeprimidos,"Cefalea, náuseas, dolor abdominal, diarrea, rash, elevación transaminasas; raro: hepatotoxicidad grave, prolongación QT, anafilaxia","Hipersensibilidad a fluconazol/azoles, uso concomitante con fármacos que prolongan QT y son metabolizados por CYP3A4 (cisaprida - terfenadina - astemizol - pimozida - quinidina - eritromicina)"
Flunarizina,Bloqueador Canales Calcio,Profilaxis migraña (oral):  Inicial 10 mg/noche; Mantenimiento 5 mg/noche o 10 mg/noche 5d/sem. Vértigo: 10 mg/día.,Una vez al día (noche),10 mg/día,Oral,Profilaxis de migraña - Vértigo de origen vestibular,"Somnolencia, fatiga, aumento de peso, aumento apetito, depresión, síntomas extrapiramidales (temblor - discinesia - parkinsonismo, especialmente en ancianos o tto prolongado), trastornos GI","Hipersensibilidad, enf. Parkinson o antecedentes síntomas extrapiramidales, depresión mayor o antecedentes, enf. hepática significativa"
Glibenclamida,Antidiabético Oral / Sulfonilurea,Inicial: 2.5-5 mg/día; Mantenimiento: 5-15 mg/día.,1-2/día (antes de comidas),20 mg/día,Oral,Diabetes mellitus tipo 2 (cuando dieta y ejercicio no son suficientes),"Hipoglucemia (principal riesgo), náuseas, pirosis, rash cutáneo, aumento de peso, ictericia colestásica (raro)","Hipersensibilidad a sulfonilureas/sulfonamidas, diabetes tipo 1, cetoacidosis diabética, coma diabético, I.H./I.R. grave, embarazo, lactancia, uso con bosentan"
Gliclazida,Antidiabético Oral / Sulfonilurea,"Tabletas liberación inmediata (LI): Inicial 40-80 mg/día, hasta 320 mg/día. Liberación modificada (LM): 30-120 mg/día",LI: 1-2 veces/día (antes comidas); LM: 1 vez/día (desayuno),LI: 320 mg/día; LM: 120 mg/día,Oral,Diabetes mellitus tipo 2 (cuando dieta y ejercicio no son suficientes),"Hipoglucemia, trastornos GI, rash, prurito, aumento peso; raro: alteraciones hematológicas, hepatotoxicidad","Hipersensibilidad a sulfonilureas/sulfonamidas, diabetes tipo 1, cetoacidosis diabética, coma diabético, I.H./I.R. grave, embarazo, lactancia, uso con miconazol (oral)"
Hidroclorotiazida,Diurético Tiazídico,HTA: 12.5-50 mg/día. Edema: 25-100 mg/día,1/día o dividido (edema),HTA: 50 mg/día; Edema: 200 mg/día,Oral,Hipertensión arterial - Edema (ICC - cirrosis - sdr. nefrótico - inducido por corticoides) - Diabetes insípida nefrogénica - Hipercalciuria idiopática,"Hipokalemia, hiponatremia, hiperuricemia (gota), hiperglucemia, hiperlipidemia, mareo, hipotensión ortostática, fotosensibilidad, pancreatitis (raro)","Hipersensibilidad a tiazidas/sulfonamidas, anuria, I.R. grave (ClCr <30 mL/min), desequilibrio electrolítico grave no corregido, enf. Addison"
Hidrocortisona Acetato Tópico,Corticosteroide Tópico,Crema/Ungüento 0.5%-2.5%,1-4 veces al día,2-4 sem sin revisión; conc. máx 2.5%,Tópica,Dermatitis leves-moderadas - Eccema - Prurito anal/genital leve - Picaduras insectos,"Ardor, picazón, irritación, sequedad local; uso prolongado/oclusivo: atrofia cutánea, estrías, telangiectasias, acné esteroideo, dermatitis perioral, supresión eje HHA","Hipersensibilidad, infecciones cutáneas primarias (bacterianas - fúngicas - virales - parasitarias) no tratadas, rosácea, acné vulgar, dermatitis perioral, úlceras cutáneas, niños <1 año (sin indicación médica)"
Hidroxicloroquina Sulfato,Antipalúdico / Antirreumático,"Paludismo: Profilaxis 400 mg/sem; Tto 800 mg, luego 400 mg a las 6-8h y 24h. AR/LES: 200-400 mg/día.",Paludismo profilaxis: semanal; AR/LES: 1-2 veces/día.,6.5 mg/kg/día o 400 mg/día,Oral,Paludismo - Artritis reumatoide - Lupus eritematoso sistémico y discoide - Afecciones dermatológicas por luz solar,"Trastornos GI, cefalea, mareo, rash, prurito; Largo plazo/dosis altas: Retinopatía irreversible, miopatía, cardiomiopatía, neuropatía, psicosis","Hipersensibilidad a 4-aminoquinolinas, maculopatía preexistente, niños (tto prolongado), embarazo (salvo paludismo y sin alternativa), lactancia (precaución)"
Hierro Polimaltosado (Complejo de Hierro (III) Hidróxido Polimaltosa),Antianémico / Suplemento de Hierro,Oral: 100-200 mg Fe elemental/día. Profilaxis embarazo: 60 mg Fe elemental/día.,Oral: 1-3 veces al día (según dosis y tolerancia),200-300 mg Fe elemental/día,Oral,Tratamiento y profilaxis de anemia ferropénica,"Trastornos GI, sabor metálico","Hipersensibilidad, hemocromatosis, hemosiderosis, anemias no ferropénicas (megaloblástica - hemolítica), transfusiones sanguíneas repetidas"
Ibuprofeno,AINE,Oral: Adultos 200-800 mg; Niños 5-10 mg/kg/dosis. IV: Adultos 400-800 mg.,Oral: cada 4-8h; IV: cada 6h,Oral: 2400 mg/día (AR/OA); 1200 mg/día; IV: 3200 mg/día,Oral IV Tópica Rectal,Dolor leve-moderado - Fiebre - Inflamación (artritis reumatoide - osteoartritis - gota aguda) - Cierre ductus arterioso persistente (IV en neonatos),"Dispepsia, náuseas, vómitos, dolor abdominal, diarrea, estreñimiento, úlcera GI, sangrado, HTA, edema, cefalea; riesgo cardiovascular (IAM - ACV)","Hipersensibilidad a ibuprofeno/AINEs, úlcera péptica/hemorragia GI activa o reciente, EII, I.H./I.R. grave, IC grave, último trimestre embarazo, diátesis hemorrágica"
Insulina Humana NPH (Isofánica),Antidiabético / Insulina Basal Acción Intermedia,SC: Dosis individualizada según necesidades,1-2 veces al día (SC),Ajuste individual estricto según glucemia,Subcutánea (SC),Diabetes mellitus tipo 1 y 2 que requieran insulina basal para control hiperglucemia,"Hipoglucemia, lipodistrofia en sitio inyección, reacciones alérgicas locales/sistémicas (raro), edema periférico (inicio tto), aumento peso","Hipersensibilidad, episodio agudo de hipoglucemia"
Irbesartán,Antihipertensivo (ARA II),HTA (oral): Adultos 150 mg/día; Mant: 150-300 mg/día. Nefropatía diabética en DM2 e HTA: 300 mg/día.,Una vez al día,300 mg/día,Oral,Hipertensión arterial esencial - Nefropatía en pacientes con DM2 e HTA (parte de tto antihipertensivo),"Mareo, cefalea, hipotensión (especialmente con depleción volumen), hiperkalemia (especialmente en I.R./diabetes/uso con ahorradores K+), fatiga, tos (menos que IECA)","Hipersensibilidad, 2º-3er trimestre embarazo, uso concomitante con aliskireno en diabéticos o I.R. (FG <60 mL/min)"
Isosorbida Mononitrato,Antianginoso / Nitrato Orgánico,Oral: 20 mg 2-3v/d; o 30-120 mg 1v/d.,Oral (LI): 2-3 veces/día; Oral (LP): 1 vez/día,Oral: 120 mg/día; Oral (LP): 240mg en algunos casos,Oral,Profilaxis de angina de pecho estable - Tratamiento coadyuvante de insuficiencia cardíaca congestiva crónica,"Cefalea (frecuente, pulsátil), mareo, hipotensión ortostática, taquicardia refleja, flushing, síncope, tolerancia (con uso continuo sin intervalo libre)","Hipersensibilidad a nitratos, hipotensión severa (PAS <90 mmHg), shock cardiogénico, anemia severa, hipovolemia no corregida, miocardiopatía hipertrófica obstructiva, pericarditis constrictiva, taponamiento cardíaco, uso concomitante inhibidores PDE-5 (sildenafilo - tadalafilo - vardenafilo)"
Ketamina,Anestésico General Disociativo / Analgésico,Anestesia (IV): 1-4.5 mg/kg; (IM): 6.5-13 mg/kg. Analgesia/Sedación 0.1-0.5 mg/kg,Dosis única o infusión; múltiples dosis según protocolo,Variable según uso (anestesia vs analgesia vs antidepresivo),IV IM Intranasal Oral,Inducción y mantenimiento de anestesia general (especialmente en pacientes con riesgo hipotensión/broncoespasmo) - Analgesia y sedación en procedimientos cortos/dolorosos - Dolor crónico (off-label) - Depresión resistente al tratamiento (uso especializado),"Hipertensión, taquicardia, aumento PIC/PIO, alucinaciones, sueños vívidos, delirio de emergencia (reacciones psicomiméticas), nistagmo, diplopía, laringoespasmo (raro), náuseas, vómitos, sialorrea","Hipersensibilidad, condiciones donde HTA significativa sea riesgo (aneurisma - ACV reciente - IC descompensada), eclampsia/preeclampsia, psicosis activa (relativa), hipertiroidismo no tratado"
Ketoconazol Crema,Antifúngico Imidazólico Tópico,Crema 2%,1-2 veces al día,Aplicación según área afectada (conc. 2%),Tópica,Dermatofitosis (tiñas corporis - cruris - pedis - manus) - Candidiasis cutánea - Pitiriasis versicolor - Dermatitis seborreica,"Irritación local, ardor, prurito, eritema, sequedad, dermatitis de contacto",Hipersensibilidad a ketoconazol o imidazoles
Ketoprofeno Gel,Antiinflamatorio No Esteroideo (AINE) Tópico,Gel 2.5%,2-4 veces al día,15 g/día de gel,Tópica,Alivio local del dolor e inflamación leves-moderados (contusiones - esguinces - tendinitis - osteoartritis superficial),"Reacciones cutáneas locales, fotosensibilidad (evitar sol directo durante tratamiento)","Hipersensibilidad a ketoprofeno/ác. tiaprofénico/fenofibrato/bloqueadores UV/perfumes/otros AINEs, piel lesionada/eccematosa, exposición solar del área tratada, último trimestre embarazo, niños <15 años"
